Manuscript number 	Plate number- IAA inventory 	Fragment number (on IAA plate)	DJD- publication number
4Q537	-260	12	DJD31 pl.XI:12
4Q537	-260	14	DJD31 pl.XI:13
4Q537	-260	13	DJD31 pl.XI:11
11Q9999	-1034	6	
4Q537	-260	17	DJD31 pl.XI:14
4Q537	-260	16	DJD31 pl.XI:24
4Q537	-260	24	DJD31 pl.XI:15
4Q537	-260	23	DJD31 pl.XI:16
4Q537	-260	22	DJD31 pl.XI:17
4Q537	-260	20	DJD31 pl.XI:18
4Q537	-260	21	DJD31 pl.XI:25
4Q537	-260	19	not found in publication
4Q537	-260	18	DJD31 pl.XI:23
4Q537	-260	26	DJD31 pl.XI:19
4Q537	-260	27	DJD31 pl.XI:20
4Q537	-260	28	DJD31 pl.XI:21
4Q537	-260	25	not found in publication
4Q213	-249	1	DJD22 pl.II:3,4
4Q213	-249	2	DJD22 pl.II:5
4Q213	-249	3	DJD22 pl.II
4Q501	-279	1	DJD7 pl.XXVIII:
11Q9999	-1034	7	
11Q9999	-1034	8	
11Q9999	-1034	9	
11Q9999	-1034	10	
11Q9999	-1032	1	
11Q9999	-1032	2	
11Q9999	-1032	11	
11Q9999	-1032	18	
11Q9999	-1032	19	
11Q9999	-1032	23	
11Q9999	-1032	24	
11Q9999	-1030	1	
11Q9999	-1030	2	
11Q9999	-1030	3	
11Q9999	-1030	4	
11Q9999	-1030	5	
11Q9999	-1030	6	
11Q9999	-1030	9	
11Q9999	-1030	11	
11Q9999	-1030	13	
11Q9999	-1030	14	
11Q9999	-1030	16	
11Q9999	-1030	17	
11Q9999	-1030	19	
11Q9999	-1030	21	
11Q9999	-1030	22	
11Q9999	-1030	23	
11Q9999	-1030	24	
11Q9999	-1030	25	
11Q9999	-1030	26	
11Q9999	-1030	27	
11Q9999	-1030	28	
11Q9999	-1030	29	
11Q9999	-1030	30	
11Q9999	-1030	31	
11Q9999	(1038a)	1	
11Q9999	(1038a)	2	
11Q9999	(1038a)	3	
11Q9999	(1038a)	4	
11Q9999	(1038a)	5	
11Q9999	(1038a)	6	
11Q9999	(1038a)	7	
11Q9999	(1038a)	8	
11Q9999	(1038a)	9	
11Q9999	(1038a)	10	
11Q9999	(1038a)	11	
11Q9999	(1038a)	12	
11Q9999	(1038a)	13	
11Q9999	(1038a)	14	
11Q9999	(1038a)	15	
11Q9999	(1038a)	16	
11Q9999	(1038a)	17	
11Q9999	(1038a)	18	
11Q9999	(1038a)	19	
11Q9999	(1038a)	20	
11Q9999	(1038a)	21	
4Q507	-179	1	DJD7 pl.XXVIII:1
4Q507	-179	2	DJD7 pl.XXVIII:2
4Q507	-179	3	DJD7 pl.XXVIII:3
4Q507	-179	4	DJD7 pl.XXVIII:4
4Q78	-162	6	DJD15 pl.XLIV:1
4Q78	-162	1	DJD15 pl.XLIV:2
4Q78	-162	2	DJD15 pl.XLIV:10
4Q78	-162	8	DJD15 pl.XLIV:4
4Q78	-162	5	DJD15 pl.XLIV:3
4Q78	-162	7	DJD15 pl.XLIV:12
4Q78	-162	4	DJD15 pl.XLV:18
4Q78	-162	3	DJD15 pl.XLIV:11
4Q78	-162	10	DJD15 pl.XLIV:5
4Q78	-162	15	DJD15 pl.XLV:20
4Q78	-162	12	DJD15 pl.XLIV:6
4Q78	-162	11	DJD15 pl.XLIV:7
11Q9999	(1038a)	22	
4Q78	-162	14	DJD15 pl.XLV:19
4Q78	-162	16	DJD15 pl.XLVI:37
4Q78	-162	13	DJD15 pl.XLIV:14
4Q78	-162	9	DJD15 pl.XLIV:13
4Q78	-162	19	DJD15 pl.XLIV:15
4Q78	-162	20	DJD15 pl.XLIV:17
4Q78	-162	18	DJD15 pl.XLIV:16
4Q78	-162	17	DJD15 pl.XLIV:8
11Q18	-575	1	DJD23 pl.XXXVIII:19
11Q18	-575	2	DJD23 pl.XXXVIII:20
4Q264a-110	-110	1	DJD35 pl.V:1
4Q264a-110	-110	2	DJD35 pl.V:2
4Q264a-110	-110	3	DJD35 pl.V:3
4Q397	(121a)	2	DJD10 pl.V:5
4Q397	(121a)	3	DJD10 pl.V:4
4Q397	(121a)	1	DJD10 pl.V:3
4Q397	(121a)	6	DJD10 pl.V:8
4Q397	(121a)	5	DJD10 pl.V:7
4Q397	(121a)	4	DJD10 pl.V:6
4Q397	(121a)	7	DJD10 pl.V:9
4Q397	(121a)	8	DJD10 pl.V:11-13
4Q397	(121a)	9	DJD10 pl.V:10
4Q397	(121a)	10	not found in publication
11Q2	-577	2	DJD23 pl.I:5
11Q2	-577	3	DJD23 pl.I:1
11Q20	-577	4	DJD23 pl.XLI:1a
11Q20	-577	10	DJD23 pl.XLVI:28b
11Q20	-577	5	DJD23 pl.XLIV:15b
11Q20	-577	13	DJD23 pl.XLIII:11b
11Q20	-577	1	DJD23 pl.XLI:1c+1e
11Q20	-577	6	DJD23 pl.XLIV:15a
11Q20	-577	7	DJD23 pl.XLVI:26
11Q20	-577	9	DJD23 pl.XLV:22
11Q20	-577	8	DJD23 pl.XLIV:20
11Q20	-577	14	DJD23 pl.XLIII:10b
11Q20	-577	12	DJD23 pl.XLI:2
11Q20	-577	15	DJD23 pl.XLII:7
11Q20	-577	11	DJD23 pl.XLII:9
4Q161	-585	1	DJD5 pl.IV:2 (upper part missing)
4Q161	-585	2	DJD5 pl.IV:3
4Q161	-585	3	DJD5 pl.IV:1
4Q161	-585	7	DJD5 pl.IV:1
4Q161	-585	4	DJD5 pl.IV:4
4Q161	-585	5	DJD5 pl.IV:5
4Q161	-585	6	DJD5 pl.IV:6
4Q375	(122a)	1	DJD19 pl.XIV:1
4Q375	(122a)	2	DJD19 pl.XIV:
4Q377	(122b)	1	DJD28 pl.L, LI:1=2 (recto and verso)
4Q377	(122b)	3	DJD28 pl.LI:3
4Q377	(122b)	2	DJD28 pl.LI:2
4Q431	-513	1	DJD29 pl.XII:431
4Q433	-513	2	DJD29 pl.XV:1
4Q433	-513	4	DJD29 pl.XV:2
4Q433	-513	3	DJD29 pl.XV:3
4Q424	-123	3	DJD36 pl.XXIII:2
4Q424	-123	1	DJD36 pl.XXIII:1
4Q424	-123	2	DJD36 pl.XXIII:3
4Q424	-123	5	DJD36 pl.XXIII:4
4Q267	-106	2	DJD18 pl.XVIII:2
4Q267	-106	1	DJD18 pl.XVIII:2
4Q267	-106	8	DJD18 pl.XVIII:2
4Q267	-106	6	DJD18 pl.XVIII:1
4Q267	-106	3	DJD18 pl.XIX:5
4Q267	-106	5	DJD18 pl.XIX:5
4Q267	-106	7	DJD18 pl.XIX:5
4Q267	-106	4	DJD18 pl.XIX:5
4Q267	-106	10	DJD18 pl.XVIII:3
4Q267	-106	9	DJD18 pl.XVIII:4
4Q267	-106	13	DJD18 pl.XIX:8
4Q267	-106	12	DJD18 pl.XXI:11
4Q267	-106	14	DJD18 pl.XVIII:4
4Q267	-106	11	DJD18 pl.XVIII:4
4Q258	(141/1)	1	DJD26 pl.XII:4
4Q258	(141/2)	1	DJD26 pl.XIII:5
4Q541	-149	1	DJD31 pl.XIV:9
4Q541	-149	2	DJD31 pl.XIII:2
4Q541	-149	3	DJD31 pl.XIII:3
4Q541	-149	5	DJD31 pl.XIII:4
4Q541	-149	6	DJD31 pl.XIII:5
4Q541	-149	4	DJD31 pl.XIII:6
4Q462	-163	1	DJD19 pl.XXVI:1
4Q462	-163	3	DJD19 pl.XXVI:5
4Q462	-163	2	DJD19 pl.XXVI:2
4Q462	-163	6	DJD19 pl.XXVI:7
4Q462	-163	5	DJD19 pl.XXVI:6
4Q462	-163	4	DJD19 pl.XXVI:4
4Q378	-167	2	DJD22 pl.XVII:2
