id;ref_num;TEI-TAG;equivalent;
;;transcriptionDesc;;
;;objectName;;
;;unit;;
;;listObject;;
;;objectName;;
;;dataSpec;;
;;outputRendition;;
;;secl;;
;;alternate;;
;;annotationBlock;;
;;anyElement;;
;;empty;;
;;dataFacet;;
;;dataRef;;
;;model;;
;;modelGrp;;
;;modelSequence;;
;;objectIdentifier;;
;;param;;
;;paramList;;
;;paramSpec;;
;;path;;
;;sequence;;
;;schemaRef;;
;;textNode;;
;;xenoData;;
;;unit;;
;;att.deprecated;;
;;model;;
;;model.objectLike;;
;;att.notated;;
